iter	Logloss
0	0.6859979932
1	0.677393296
2	0.6695932479
3	0.6628357413
4	0.6560929334
5	0.6502178161
6	0.6437592323
7	0.6373868383
8	0.6305297485
9	0.6249219661
10	0.6183531057
11	0.6123939183
12	0.6065147694
13	0.6014098702
14	0.5963721809
15	0.5910655846
16	0.5863277299
17	0.5805455891
18	0.575959113
19	0.5718904313
20	0.5665332446
21	0.5627330968
22	0.5577355746
23	0.5534344482
24	0.5491537339
25	0.5439887603
26	0.5397216757
27	0.5358540364
28	0.5320688165
29	0.5285054994
30	0.5239355469
31	0.5203512067
32	0.5166809002
33	0.5133653265
34	0.5098483456
35	0.5064951764
36	0.502469676
37	0.4985320887
38	0.4953453013
39	0.492096478
40	0.4888663554
41	0.4850955222
42	0.4825874381
43	0.4798534013
44	0.477220485
45	0.473812209
46	0.4711494033
47	0.46852764
48	0.4653481903
49	0.4624557857
50	0.4598051485
51	0.4573834505
52	0.4551531082
53	0.4518602448
54	0.449522184
55	0.4469521062
56	0.4449241942
57	0.4422751363
58	0.4394011593
59	0.4371629172
60	0.434583185
61	0.432966904
62	0.4310054799
63	0.4293014258
64	0.4272009208
65	0.4256323526
66	0.4234784046
67	0.4216446298
68	0.4198661254
69	0.4185164999
70	0.416400217
71	0.4143663054
72	0.4126780311
73	0.4114055394
74	0.409827565
75	0.4088981923
76	0.4074172912
77	0.405199729
78	0.4033735341
79	0.4019194361
80	0.4005256454
81	0.3993232847
82	0.3972836709
83	0.3955481271
84	0.3940589379
85	0.3926381577
86	0.3899564917
87	0.3884745754
88	0.3873160438
89	0.3861379162
90	0.3850737792
91	0.3831025112
92	0.3814439539
93	0.3798447549
94	0.3787450282
95	0.3776631564
96	0.3767295368
97	0.3758228557
98	0.3743218367
99	0.3733238437
100	0.3722649603
101	0.3709573387
102	0.3698992161
103	0.3685737553
104	0.3669717132
105	0.3658900406
106	0.3648881616
107	0.3634699752
108	0.3625549363
109	0.3609215323
110	0.3592691396
111	0.3586516647
112	0.3573147551
113	0.3564934976
114	0.3555057273
115	0.3543098526
116	0.353697243
117	0.352208083
118	0.3512577876
119	0.350248925
120	0.3493133085
121	0.3481502189
122	0.3465618663
123	0.3455511747
124	0.3449353524
125	0.3441633272
126	0.3436548061
127	0.3430017877
128	0.3418892962
129	0.3410431285
130	0.3400765981
131	0.3394505185
132	0.33848398
133	0.3371515343
134	0.3359841397
135	0.3349987617
136	0.3340587786
137	0.3336983985
138	0.3329761818
139	0.3318705043
140	0.3311288646
141	0.3303451763
142	0.3298204956
143	0.3291772714
144	0.3283303785
145	0.3274034429
146	0.326571383
147	0.3259359777
148	0.3249407251
149	0.3241326227
150	0.32350771
151	0.3227827267
152	0.3221168318
153	0.3209958896
154	0.3204026495
155	0.3197928387
156	0.3191270017
157	0.3184215831
158	0.3179242971
159	0.3172371162
160	0.3167195608
161	0.3159104093
162	0.3151853459
163	0.3147583297
164	0.3143013367
165	0.3137277218
166	0.3131357518
167	0.3123543966
168	0.3116554235
169	0.311176168
170	0.310549555
171	0.3096615969
172	0.3089690586
173	0.3082438295
174	0.307788673
175	0.3071078082
176	0.3066620146
177	0.3059423438
178	0.3051056434
179	0.3044999091
180	0.3037630948
181	0.3028956848
182	0.302398206
183	0.3021372849
184	0.3012929091
185	0.3006836741
186	0.3000633304
187	0.299600345
188	0.2991239621
189	0.2987647026
190	0.2980952657
191	0.2973416378
192	0.2968006764
193	0.2964332039
194	0.2957282262
195	0.2952909721
196	0.294999611
197	0.2942128504
198	0.2936787125
199	0.2932345456
200	0.292812413
201	0.2924100151
202	0.2919779373
203	0.2914557743
204	0.2909689468
205	0.2903406031
206	0.2898526694
207	0.2891276758
208	0.2886720815
209	0.288006136
210	0.2872711824
211	0.2868561288
212	0.2863069547
213	0.2857504899
214	0.2851434239
215	0.2847468323
216	0.2840365609
217	0.2836719748
218	0.2829399822
219	0.282359676
220	0.2819846897
221	0.2813518219
222	0.2807067342
223	0.2803226142
224	0.2798900932
225	0.2792165103
226	0.278646049
227	0.2781307714
228	0.2775861995
229	0.2772728376
230	0.2766431742
231	0.275981946
232	0.2754825471
233	0.2751336436
234	0.2746547051
235	0.273996478
236	0.2736211722
237	0.2733096919
238	0.2727086184
239	0.2723010934
240	0.2718389876
241	0.2712129669
242	0.2705897296
243	0.2700021772
244	0.2694610872
245	0.2690270299
246	0.2684689187
247	0.267950993
248	0.2675117035
249	0.2672297038
250	0.2668245427
251	0.2665433614
252	0.2660553576
253	0.2656821643
254	0.2651545166
255	0.26480701
256	0.2644706986
257	0.2641184547
258	0.2638118671
259	0.2634989697
260	0.2628970025
261	0.2624567405
262	0.2620504932
263	0.2616354248
264	0.2612510776
265	0.2609956745
266	0.2604513174
267	0.2599696989
268	0.2595608494
269	0.2590940796
270	0.2588322217
271	0.2580113164
272	0.2573663434
273	0.2570710375
274	0.256557068
275	0.2563074396
276	0.2559904678
277	0.2555950717
278	0.2553880399
279	0.2550812046
280	0.2547119651
281	0.2542653878
282	0.2539713017
283	0.2536733552
284	0.2534291637
285	0.2530386457
286	0.2524568687
287	0.2520146525
288	0.2515322363
289	0.2511394101
290	0.2507799082
291	0.2505060196
292	0.2500555598
293	0.2495411231
294	0.2491222015
295	0.2487221721
296	0.2483710372
297	0.2480582472
298	0.2476366303
299	0.2471300366
300	0.2468195801
301	0.2463825759
302	0.2460473231
303	0.2457791701
304	0.2456099299
305	0.2453594555
306	0.2450134854
307	0.2445271017
308	0.2442588237
309	0.244035217
310	0.2436728255
311	0.2433468806
312	0.2430784421
313	0.2427363244
314	0.242357365
